인덱스,검색어,날짜,신문사,제목,내용
1,유한양행,2020.05.29,inews24.com,"[I-리포트] 유한양행, 하반기 개선 기대…목표가↑-현대차證","[아이뉴스24 한수연 기자] 현대차증권은 29일 유한양행에 대해 올해 1분기에는 코로나19 여파로 실적이 역성장했지만, 하반기 레이저티닙과 얀센 이중항체 병용 파이프라인에 대한 단기 모멘텀으로 개선이 기대된다며 목표주가를 기존 5만5천원에서 6만원으로 상향했다. 투자의견은 '매수'를 유지했다.유한양행의 올해 1분기 매출액은 전년 동기 대비 9% 감소한 3천133억원, 영업이익은 82% 급감한 11억원을 기록했다.박병국 현대차증권 애널리스트는 ""코로나19로 1분기 연결기준 매출액은 전년 동기보다 9% 줄고 영업이익은 82% 급감했다""면서도 ""그러나 하반기에 개시될 가능성이 큰 레이저티닙과 얀센 이중항체의 병용 2/3상 디자인에 주목해야 한다""고 짚었다.박 애널리스트는 ""지난 13일 공개된 ASCO 초록 데이터를 통해 레이저티닙은 3세대 TKi로서의 가능성을 다시 한 번 확인했다""며 ""공개된 데이터는 주로 T790M 변이가 일어난 환자에 2차 치료제 목적으로 투약됐으며 레이저티닙 240mg은 EGFR 변이 비소세포폐암 시장을 주도하고 있는 타그리소(80mg)의 AURA 2상 pooled data와 유사한 데이터를 보이며 '단독' 가능성을 보였다""고 설명했다.이어 ""이달 말 포스터에서 공개될 가능성이 있는 160mg, 240mg 용량에서의 데이터를 주목해야 하고, 1차 치료제 목적으로 하는 글로벌 3상 단독 요법에서 160mg, 240mg도 임상을 진행하고 있다""며 ""특히 비임상 독성시험을 완료한 YH-25724의 임상개시 시점은 이르면 하반기가 될 가능성이 있고, 그에 따른 1000만 달러 규모의 마일스톤 수령도 바라볼 수 있다""고 기대했다.한수연기자 papyrus@inews24.com▶네이버 채널에서 '아이뉴스24'를 구독해주세요.▶재밌는 아이뉴스TV 영상보기  ▶아이뉴스24 바로가기[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"
2,유한양행,2020.05.28,헤럴드경제,"화이자-유한양행, ‘평생 금연서약 캠페인’ 진행","[헤럴드경제=손인규 기자]한국화이자제약(대표이사 사장 오동욱)은 유한양행(대표이사 사장 이정희)과 함께 오는 5월 31일 ‘세계 금연의 날’을 맞아 임직원 대상 ‘평생 금연서약 캠페인’을 진행한다고 28일 밝혔다.세계 금연의 날은 세계보건기구(WHO)가 흡연의 위험성을 알리기 위해 1988년 5월에 제정했다. 올해 주제는 ‘담배회사의 담배 규제 방해 행위로부터 청소년 보호 및 니코틴 사용 예방’이다.특히 세계보건기구와 중앙방역대책본부는 신종 코로나바이러스 감염증(코로나19) 고위험군에 흡연자를 포함했으며 대한금연학회와 한국금연운동협의회는 코로나19는 흡연자 및 고령자, 만성질환자에서 위험하기 때문에 흡연자는 반드시 담배를 끊어야 한다고 강조했다.이번 캠페인은 코로나19 감염 확산 방지를 위해 이달 25일부터 6월 1일까지 온라인으로 진행된다.평생 금연서약을 응원하는 가족 또는 지인과 함께 찍은 사진을 제출하면 포토 서약서와 더불어 건강간식, 금연 브로슈어 등으로 구성된 ‘금연해 박스’가 전달된다.ikson@heraldcorp.com▶[디;콘] 여론조사를 조사하다!▶채널 구독하면 LED마스크, 공기청정기가 내손에 ▶농수축산물 소비캠페인 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
3,유한양행,2020.05.24,서울경제,코로나 특수 유한양행 '락스' 매출 27% 급증,"1분기 실적악화 그나마 상쇄매출 비중도 8.6%로 높아져[서울경제] 신종 코로나바이러스 감염증(코로나 19) 예방을 위한 소독법을 친절히 안내해 화제를 모은 ‘유한락스’가 지난 분기 깜짝 실적을 기록했다. 코로나 19로 병원을 찾는 사람이 줄며 유한양행(000100)도 부진을 피하지 못했지만 락스 덕에 그나마 선방했다는 분석이 나온다.24일 제약업계에 따르면 유한양행 생활건강사업부문의 주력상품인 유한락스의 지난 1·4분기 매출액은 269억5,600만원을 기록하며 전년 동기 대비 27.4% 증가했다. 유한양행은 “유통시장이 어려웠지만 성장을 이뤘다”고 설명했다. 유한락스는 락스의 대명사로 불릴 만큼 시장 내 압도적인 영향력을 보유했지만 최근에는 경쟁제품의 잇단 등장에 성장에 한계를 드러내는 듯했다. 실제 2018년 1·4분기 관련 매출은 213억600만원으로 회사 전체 매출 대비 6.3%를 차지했지만 1년만인 2019년 211억6,200만원으로 역성장하며 회사 매출에서 차지하는 비율도 6.1%로 쪼그라들었다. 그러다 다시 코로나 19를 계기로 집이나 건물 등 공용공간 소독 수요가 늘며 전통 제품으로는 보기 드문 두자릿수는 물론 30%에 육박하는 고속성장을 기록했고 회사 전체 매출대비 비중도 8.6%로 훌쩍 뛰어올랐다. 유한양행의 1·4분기 매출액은 전년 동기 대비 9.2%(316억7,700만원) 줄었는데 락스 매출이 같은 기간 57억9,400만원 증가하며 실적 악화를 상쇄했다. 유한양행의 한 관계자는 “일반 소비자 뿐만 아니라 기업과 기관 등에서 대량구매가 많았다”고 전했다.2·4분기가 시작한 지난 4월 들어서도 코로나 19 확산세가 이어지며 소독용 락스 판매가 꾸준히 호조를 나타내는 만큼 이 부문 성장세는 당분간 이어질 것으로 전망된다.  특히 유한락스의 인기 비결로는 지난 3월 화제가 된 ‘올바른 사용법’도 한몫한 것으로 풀이된다. 유한양행 소비자 상담실에서는 당시 올바른 락스 살균 소독법으로 분무기 분사가 아닌 천에 묻혀 물건과 벽면을 닦아야 한다고 강조했다. 또 가정에서 코로나19 확진환자가 나왔을 경우 일반 가정용락스 제품 용량의 50배로 희석하라는 점을 알리며 용기 뚜껑의 용량도 재차 소개했다. 락스 사용 시 창문을 열어 환기시키고 소독 전 마스크와 장갑 착용, 소독 중 얼굴 만지지 않기 같은 주의사항도 꼼꼼히 알렸다. 이 같은 내용이 소셜네트워크서비스(SNS)를 중심으로 널리 퍼지며 회사와 상품에 대한 좋은 반응을 이끌었다./임진혁기자 liberal@sedaily.com[서울경제 바로가기]▶ 네이버 채널에서 '서울경제' 구독해주세요!▶ 세상 모든 것에 대해 던지는 질문, 왜(WHY)?저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
4,유한양행,2020.05.23,edaily,[주말n입사지원] 유한양행·한샘·위메프 등 채용소식,"유한양행·한샘·LS일렉트릭·GS에너지·위메프 등 채용소식(사진=연합뉴스)[이데일리 김호준 기자] 23일 사람인에 따르면 유한양행·한샘·LS일렉트릭·GS에너지·위메프 등이 채용을 진행한다.유한양행은 2020년 상반기 신입 및 경력사원을 채용한다. 신입은 생산(△생산관리 △QA/QC △공장관리), 연구개발(△의약 공정분석 △바이오 CMC △약리연구 △헬스케어 개발) 분야에서 모집한다. 경력은 생산(△EHS), 연구개발(△의약 공정분석 △바이오 신약 △바이오 CMC △약물대사 약동 △약리연구 △임상운영 △PV) 분야에서 모집한다. 모집 분야별로 지원 자격 및 우대 조건이 다르므로 사전에 꼼꼼한 공고 확인이 필수다. 서류전형, 온라인 인적성검사, 면접전형을 거쳐 최종합격자를 선발한다. 오는 26일까지 채용 홈페이지에서 지원하면 된다.한샘은 2020년 상반기 신입사원 공개채용을 실시한다. 모집 부문은 △상품 △경영지원 △온라인 △SCM △영업관리다. 4년제 정규 대학 졸업자 및 2020년 8월 졸업 예정자면 전공, 학점, 공인어학성적에 제한 없이 지원할 수 있다. 일부 분야는 관련 전공자 또는 관련 자격 보유자, 외국어 능통자, 공모전 수상자 등을 우대한다. 전형 단계는 △서류전형 △1차면접 △인성검사 △최종면접 △채용검진 순이다. 6월 2일까지 채용 홈페이지에서 원서를 접수하면 된다.LS일렉트릭은 2020년 생산직 및 생산기술·서비스 채용연계형 인턴을 선발한다. 생산은 △자재 △제조 △시험 △교정, 생산기술·서비스는 △설비운영 △서비스 부문에서 모집한다. 대학 졸업자 및 2021년 2월 졸업 예정자(2020년 7월 1일부터 근무 가능자)로 생산은 고졸 이상, 생산기술·서비스는 전문대졸 이상 및 토익 기준 700점 이상 공인어학성적 보유자면 지원할 수 있다. 분야별 관련 자격증 소지자는 우대한다. 6개월 인턴십 기간 평가 및 임원면접 후 정규직으로 채용된다. 전형 절차는 △서류전형 △AI역량검사(온라인) △실무면접 △채용검진 순이다. 오는 31일까지 채용 홈페이지를 통해 지원 가능하다.GS에너지는 채용연계형 하계인턴을 채용한다. 경영지원 및 사업관리 분야에서 모집한다. 대학 졸업자 또는 2020년 8월 및 2021년 2월 졸업 예정자로 토익 기준 850점 이상 공인어학성적 소지자, 비즈니스 커뮤니케이션이 가능한 수준의 어학 능력 보유자면 지원할 수 있다. 단, 경영지원은 인문 및 상경계열 전공자만 지원 가능하다. 중국어, 일본어 등 기타 외국어 능력 우수자, 경영지원은 재무 관련 자격증(CPA·CFA·CTA·AICPA) 소지자를 우대한다. 서류전형, 테스트(인성검사·AI역량검사·한국사시험), 면접, 건강검진을 거쳐 선발한다. 우수 인턴에게는 인턴 종료 후 입사를 위한 최종 면접 기회가 부여된다. 6월 1일까지 채용 홈페이지로 원서를 접수하면 된다.위메프는 신입 개발자를 채용한다. 모집 분야는 백엔드·프론트엔드 서비스 개발(모바일, PC 웹·앱 서비스 개발), 머신러닝·딥러닝·데이터분석 등이다. 관련 전공자 또는 교육 이수자로 신입 및 개발 업무 1년 미만 경력자, 7월 이후 풀타임 근무 가능자면 지원할 수 있다. 서류전형, 코딩테스트(온라인), 면접전형 (1, 2차)을 거쳐 합격자를 뽑는다. 오는 6월 5일까지 채용 홈페이지를 통해 지원하면 된다.김호준 (kazzyy@edaily.co.kr)네이버에서 ‘이데일리’ 구독하기▶청춘뉘우스~ 스냅타임▶＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
5,유한양행,2020.05.22,서울신문,"유한양행, 혈액이 ‘팽팽’… 생활이 힘차져요","[서울신문]체내 흡수가 빠른 액상형으로 된 유한양행의 대표 마그네슘·비타민B 영양제 ‘마그비 스피드액’. 유한양행 제공혈액 및 말초 순환 장애를 예방하는 데 도움이 되는 영양제로 유한양행의 ‘마그비’가 있다. 마그비는 ‘마그네슘’과 ‘비타민B’에서 이름을 따왔다.마그비는 불규칙한 생활 방식과 식생활 습관을 보이는 현대인에게 부족해지기 쉬운 마그네슘과 비타민B군, 비타민E를 보충해 준다. 비타민E는 혈관을 확장하고, 혈전 응집을 막아 혈액순환을 개선하는 데 도움을 준다. ‘마그비 연질캡슐’과 ‘마그비 감마 연질캡슐’에는 비타민E 500IU가, ‘마그비 액티브정’에는 100IU가 함유돼 있다. IU(International Unit)는 비타민의 효능을 나타내는 단위다.마그네슘과 비타민B군도 마그비 제품군에 골고루 포함된 성분들이다. 마그네슘은 근육 경련, 혈액순환, 심장, 당뇨 등에 도움을 주는 영양소로, 꾸준히 복용하면 증상 완화에 도움이 된다. 특히 신경 안정 효과가 있고, 골다공증 예방이나 생리 전 증후군 증상을 완화하는 데도 도움을 준다.비타민B군은 조효소(복합단백질로 이루어진 효소의 비단백질 성분) 영양소로, 에너지원인 탄수화물, 단백질, 지방 등의 대사에 관여해 에너지 대사를 원활하게 하고, 젖산 축적을 방지해 피로 개선을 돕는다.마그비 제품군에는 활성비타민B군이 들어간 ‘마그비 액티브’, 항산화물질인 감마오리자놀을 함유한 ‘마그마 감마’, 액상제제로 손쉽게 복용할 수 있고 흡수가 빠른 ‘마그비 스피드액’ 등이 있다. 유한양행은 앞으로 근육 경련, 혈액순환 개선제 시장에서 소비자 마케팅을 지속하는 한편 시장 수요를 고려한 신제품도 꾸준히 출시할 계획이다.이영준 기자 the@seoul.co.kr▶ 네이버에서 서울신문 구독하기 클릭! ▶ 세상에 이런 일이 ▶ [연예계 뒷얘기] 클릭!ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지"
6,유한양행,2020.05.21,donga.com,"성균관대-유한양행, ‘뇌질환 R&BD; 생태계’ 구축 협력사업 협약체결","성균관대는 유한양행, ㈜아임뉴런바이오사이언스와 ‘산학융합 뇌질환 R&BD 생태계 구축 협력사업’을 통해 국가 바이오산업 발전과 인류 건강 증진을 목표로 20일 3자 업무협약을 체결했다고 21일 밝혔다.   성균관대, 유한양행, 아임뉴런은 이번 협약을 통해 ▲바이오 분야 ·연구 클러스터 구축 ▲미래 유망 기술개발 및 CNS 파이프라인 창출 ▲의약-바이오 공동연구 및 신약개발 협력 ▲뇌질환 산학융합연구소 설립 등 세계적인 수준의 지속 가능한 산학융합 뇌질환 R&BD 생태계를 구축하고 글로벌 선도기관으로 도약한다는 계획이다.   이번 협약은 국내 최초로 대학-제약회사-바이오벤처의 화학적 결합이 이뤄진 것과 이를 통해 새로운 형태의 산학융합 뇌질환 R&BD 생태계를 구축하게 되었다는 점에서 큰 의미가 있다.   세 기관은 기초연구부터 신약개발에 필요한 연구 인프라, 기반기술, 중개연구, 임상, 사업화 등 역량을 총 결집하여, 세계를 선도하는 연구와 혁신신약 개발에 성공할 수 있을 것으로 기대하고 있다.  성균관대는 이번 협약을 통해 공동으로 설립할 뇌질환 산학융합연구소 내 신규학과를 신설하고, 산학연계 학위트랙을 통해 신약개발 분야의 창의리더를 양성한다. 이로써 협약 파트너들과 세계적 수준의 CNS 연구역량 및 인프라를 공유할 것으로 기대하고 있다.   유한양행은 뇌질환 분야에서 미래 유망한 기반기술을 육성하고, 투자 및 공동개발을 통해 사업성이 유망한 CNS(central nervous system;중추 신경계) 파이프라인을 확보할 계획이다. 이는 유한양행이 전략적으로 확대하고 있는 뇌질환 분야에서 또 한발 앞서가는 행보라 할 수 있다. 아임뉴런은 뇌질환 및 유전자질환 신약개발을 위한 미래 유망 기반기술을 개발하고, 신규 CNS 파이프라인을 창출한다.  신동렬 성균관대 총장은“최고의 기업과 대학, 혁신 바이오벤처가 국가 바이오산업 발전과 인류 건강 증진이라는 공동의 목적을 위해 글로벌 리딩 산학협력 플랫폼을 실현시킬 수 있는 계기가 되어 기쁘다”며 “지속가능한 R&BD 생태계 구축을 통해 실효성 있는 연구로 세계를 선도하고, 글로벌 기업가적 대학으로 도약하기를 기대한다”고 밝혔다.▶ 네이버에서 [동아일보] 채널 구독하기▶ 집 볼 때 쓰는 메모장 '집보장'ⓒ 동아일보 & donga.com, 무단 전재 및 재배포 금지"
7,유한양행,2020.05.21,세계닷컴,유한양행-성균관대-아임뉴런 맞손…뇌질환 R&BD; 생태계 구축한다,"㈜유한양행(이정희 대표이사 사장)은 성균관대학교(신동렬 총장), ㈜아임뉴런바이오사이언스(김한주 대표이사)와 3자 업무협약을 체결했다고 20일 밝혔다. 이 협약은 차별화된 ?산학융합 뇌질환 R&BD; 생태계 구축 협력사업?을 통해 국가 바이오산업 발전과 인류 건강 증진을 목표로 하고 있다.   유한양행, 성균관대, 아임뉴런은 이번 협약을 통해 ▲바이오 분야 교육?연구 클러스터 구축 ▲미래 유망 기술개발 및 CNS 파이프라인 창출 ▲삼성서울병원과 공동연구 및 신약개발 협력 ▲?뇌질환 산학융합연구소? 설립 등 세계적인 수준의 지속 가능한 산학융합 뇌질환 R&BD; 생태계를 구축하고 글로벌 선도기관으로 도약한다는 계획이다.    이번 협약은 국내 최초로 대학-제약회사-바이오벤처의 화학적 결합이 이뤄진 것과 이를 통해 새로운 형태의 산학융합 뇌질환 R&BD; 생태계를 구축하게 되었다는 점에서 큰 의미를 지닌다. 성균관대, 삼성서울병원, 뇌질환 산학융합연구소가 유기적으로 연결되어 연구인력 양성 및 인적교류를 활성화하고, 긴밀한 정보 공유체계를 구축하기로 했다.   세 기관은 기초연구부터 신약개발 전반에 걸쳐 필요한 연구 인프라, 기반기술, 중개연구, 임상, 사업화 등의 역량을 총 결집하여 세계를 선도하는 연구와 혁신신약 개발에 성공할 수 있을 것으로 기대하고 있다.   이번 협약을 통해 유한양행은 뇌질환 분야에서 미래유망한 기반기술을 육성하고, 투자 및 공동개발을 통해 사업성이 유망한 CNS(central nervous system;중추 신경계) 파이프라인을 확보할 계획이다. 이는 유한양행이 전략적으로 확대하고 있는 뇌질환 분야에서 또 한발 앞서가는 행보라 할 수 있다.    성균관대는 이번 협약을 통해 공동으로 설립할 ?뇌질환 산학융합연구소? 내 신규학과를 신설하고, 산학연계 학위트랙을 통해 신약개발 분야의 창의리더를 양성한다. 이로써 협약 파트너들과 세계적 수준의 CNS 연구역량 및 인프라를 공유할 것으로 기대하고 있다.    아임뉴런은 뇌질환 및 유전자질환 신약개발을 위한 미래 유망 기반기술을 개발하고, 신규 CNS 파이프라인을 창출한다.   이정희 유한양행 사장은“이번 협약은 국내 최초로 대학-제약회사-바이오벤처의 세 기관이 화학적 결합을 통해 차별화된 뇌질환 R&BD; 생태계를 조성하는 것”이라며 “이를 통해 혁신 신약개발을 위한 신성장동력을 확보하여 글로벌 제약사로의 도약과 국가 바이오산업의 미래지향적인 발전을 위해 매진할 것”이라고 말했다.   신동렬 성균관대 총장은“최고의 기업과 대학, 혁신 바이오벤처가 국가 바이오산업 발전과 인류 건강 증진이라는 공동의 목적을 위해 글로벌 리딩 산학협력 플랫폼을 실현시킬 수 있는 계기가 되어 기쁘다”며 “지속가능한 R&BD; 생태계 구축을 통해 실효성 있는 연구로 세계를 선도하고, 글로벌 기업가적 대학으로 도약하기를 기대한다”고 밝혔다.    김한주 아임뉴런 대표는“뇌질환·유전자질환 분야의 혁신 신약개발을 위해서는 기초과학부터, 플랫폼기술, 중개연구, 임상, 사업화 등 다양한 영역의 역량이 모두 필요하다”며, “세 기관이 긴밀한 화합을 이루어 시너지 효과를 극대화하고, 아임뉴런은 다복합 플랫폼기술 개발을 강화하여 산학융합 글로벌 연구소기업으로 성장하겠다”고 말했다.     앞서 성균관대와 유한양행은 지난해 6월 뇌질환 공동연구개발, 핵심인재 양성, 유망 벤처기업 발굴 및 육성 등을 포함한 포괄적·전략적 산학협력관계를 구축하는 업무협약을 체결한 바 있다. 사업내용의 일환으로 올해부터 차세대 핵심인재 양성을 위하여‘YUHAN 신약개발 트랙’프로그램을 시작했으며, 현재 유한양행과 아임뉴런은 3개의 뇌암·뇌질환 신약 프로그램을 공동연구개발 하고 있다.   김현주 기자 hjk@segye.com    ⓒ 세상을 보는 눈, 세계일보"
11,라돈,2020.05.17,조선일보,"지하수 함유 라돈, 공기공급 장치로 85% 저감효과","충북보건연구원, 지하수 함유 라돈 공기 공급으로 저감 효과청주 충주 음성 보은 옥천 등 방사성 검출 가능성 높아연구원, 이들 지역 지하수 개발시 방사성 물질 검사 해야				지하수에 함유된 라돈은 급수 과정에서 공기를 공급하면 상당량 없앨 수 있다는 연구 결과가 나왔다.17일 충북도 보건환경연구원에 따르면 지하수 원수와 가정에서 사용하는 수도꼭지의 라돈 농도를 비교한 결과, 원수보다 수도꼭지가 평균 44% 정도 낮게 나타났다. 보건환경연구원은 “휘발성이 있는 라돈이 저수조에 체류하는 동안 공기 중으로 흩어지고 반감기(방사성 원소나 소립자가 붕괴 또는 다른 원소로 변할 경우, 그 원소의 원자 수가 최초의 반으로 줄 때까지 걸리는 시간)가 3.8일로 짧아 자연적으로 감소하기 때문”이라고 말했다.충북도 보건환경연구원 먹는 물 분석하는 모습/충북도				보건환경연구원은 원수의 라돈이 기준을 초과할 경우 물을 끓여 먹거나, 받아두었다가 마시는 것이 필요하다고 밝혔다. 특히 물속에 공기를 주입하는 형태의 라돈 저감시설을 설치한 경우 제거 효율은 85%로 높아졌다. 연구원 측은 “그러나 우라늄은 자연적 감소가 이뤄지지 않아 저감시설 설치가 꼭 필요한 것으로 나타났다”고 말했다.설치된 저감시설 제거효율을 분석한 결과, 98% 이상 제거돼 정수시설을 설치하면 안전하게 관리할 수 있었다. 연구원 측은 “지하수내 자연방사성 물질은 지질에 의한 영향을 많이 받는다”며 “라돈은 화강암 지역에서, 우라늄은 화강암 또는 화강암과 편마암 경계부에서 많이 발생하는 것으로 조사됐다”고 말했다.자연 방사성 물질이 높게 검출될 수 있는 지역은 청주, 충주, 음성, 진천, 괴산, 보은, 옥천 등이었다. 연구원은 이들 지역에서 지하수를 개발할 때 자연 방사성 물질 검사를 받아 안전성을 확인할 필요가 있다고 권고했다.이번 연구는 충북 도내 마을 상수도 362개 중 98곳을 표본 조사해 진행됐다.조사 결과, 자연 방사성 물질이 높게 검출되는 시설은 광역상수도 보급, 대체수원개발 또는 저감시설 설치 등이 필요한 것으로 드러났다. 보건환경연구원 관계자는 “충북지역 지하수 자연 방사성 물질 분포실태를 계속해서 조사할 계획”이라며 “안전한 지하수 개발과 이용을 위한 기초자료를 제공할 방침”이라고 말했다.[신정훈 기자 news1724@chosun.com] 		▶ 바뀐 우리집 공시가 확인하기 		▶ 네이버에서 조선일보 받아보기		▶ 조선일보 구독 신청하기 	- Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -"
12,라돈,2020.05.17,뉴시스,"충북보건환경연구원, 지하수 라돈 급수과정서 평균 44% 자연 감소","【청주=뉴시스】충북도 보건환경연구원 전경. (사진=연구원 제공) photo@newsis.com[청주=뉴시스] 천영준 기자 = 지하수에 함유된 라돈은 급수 과정에서 공기를 공급하면 제거가 가능하다는 연구 결과가 나왔다.17일 충복도 보건환경연구원에 따르면 조사연구 사업을 통해 도내 마을 상수도의 라돈과 우라늄 함유 실태를 조사하고 저감 방안을 연구했다.우선 지하수 원수와 가정에서 사용하는 수도꼭지의 라돈 농도를 비교한 결과, 원수보다 수도꼭지가 평균 44% 정도 낮게 나타났다.라돈에 휘발성이 있어 저수조에 체류하는 동안 공기 중으로 휘발하고, 반감기가 3.8일로 짧아 자연적으로 감소했기 때문이다.특히 공기를 공급하는 방식의 라돈 저감시설을 설치하면 제거 효율은 85%로 높아진다. 간단한 저감시설 설치로 안전하게 라돈을 줄일 수 있다고 연구원은 설명했다.반면 우라늄의 경우 자연적인 감소가 이뤄지지 않아 저감시설 설치가 꼭 필요한 것으로 조사됐다.설치한 저감시설의 제거 효율을 분석한 결과 98% 이상 제거돼 정수시설을 설치하면 안전하게 관리할 수 있다.지하수 내 자연 방사성물질은 지질에 의한 영향을 많이 받는 것으로 나타났다. 라돈은 화강암 지역에서, 우라늄은 화강암이나 화강암·편마암의 경계부에 많았다.자연 방사성물질이 높게 검출될 수 있는 지역은 청주, 충주, 음성, 진천, 괴산, 보은, 옥천 등으로 조사됐다.이들 지역에서 지하수를 개발할 때는 자연 방사성물질 검사를 받아 안전성을 확인해야 한다.이번 연구는 충북 도내 마을 상수도 362곳 중 98곳을 표본 조사했다. 자연 방사성물질이 높게 검출되는 시설은 광역상수도 보급, 대체수원개발이나 저감시설 설치 등을 안내했다.도 보건환경연구원 관계자는 ""올해도 충북 지역 지하수의 자연 방사성물질 분포 실태를 조사할 계획""이라며 ""안전한 지하수 개발과 이용을 위한 기초자료를 제공할 방침""이라고 말했다.☞공감언론 뉴시스 yjc@newsis.com▶ 네이버에서 뉴시스 구독하기▶ K-Artprice, 유명 미술작품 가격 공개▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기<ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지>"
13,라돈,2020.05.17,뉴스1,"지하수 함유 라돈, 급수과정서 평균 44% 자연감소","간단히 공기공급만 해도 제거 가능청주·충주·음성·진천·괴산·보은·옥천 방사성물질 높게 검출지하수 사용 마을상수도 자연 방사성물질 검사./뉴스1(청주=뉴스1) 이성기 기자 = 지하수를 활용하는 마을 상수도에 함유된 라돈은 급수과정에서 간단히 공기공급만 해도 제거할 수 있는 것으로 나타났다.충북도 보건환경연구원이 2019년 조사연구사업을 통해 도내 마을 상수도의 라돈과 우라늄 함유 실태를 조사하고, 저감방안을 연구한 결과다.17일 보건환경연구원에 따르면 지하수 원수와 가정에서 사용하는 수도꼭지의 라돈 농도를 비교한 결과 원수보다 수도꼭지가 평균 44%정도 낮게 나타났다. 라돈에 휘발성이 있어 저수조에 체류하는 동안 공기 중으로 휘발하고, 반감기가 3.8일로 짧아 자연적으로 감소하는 덕분이다.보건환경연구원은 원수의 라돈이 기준을 초과하면 물을 끓여 먹거나 받아두었다가 음용하는 것이 필요하다고 밝혔다. 특히 공기공급 방식의 라돈 저감시설을 설치하면 제거효율은 85%로 높아져 간단한 저감시설 설치로도 안전하게 라돈을 저감할 수 있다. 우라늄은 자연적인 감소가 이뤄지지 않아 저감시설 설치가 꼭 필요하다.설치한 저감시설의 제거효율을 분석한 결과 98% 이상 제거돼 정수시설을 설치하면 안전하게 관리할 수 있다. 지하수 내 자연 방사성물질은 지질에 의한 영향을 많이 받는 것으로 나타났다. 라돈은 화강암 지역에서, 우라늄은 화강암 또는 화강암과 편마암의 경계부에서 높게 나타났다. 자연 방사성물질이 높게 검출될 수 있는 지역은 청주, 충주, 음성, 진천, 괴산, 보은, 옥천 등으로 조사됐다. 이들 지역에서는 지하수를 개발할 때 자연 방사성물질 검사를 받아 안전성을 확인할 필요가 있다고 보건환경연구원은 권고했다.이번 연구는 충북 도내 마을 상수도 362개 중 98곳을 표본조사했으며, 조사결과 자연 방사성물질이 높게 검출되는 시설은 광역상수도 보급, 대체수원개발 또는 저감시설 설치 등을 안내했다. 보건환경연구원은 올해도 충북지역 지하수의 자연 방사성물질 분포실태를 계속해서 조사할 계획이며, 안전한 지하수 개발과 이용을 위한 기초자료를 제공할 방침이다.sklee@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  뉴스1 바로가기 ▶  코로나19 뉴스 © 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지"
