인덱스,검색어,날짜,신문사,제목,내용
1,유한양행,2020.05.29,inews24.com,"[I-리포트] 유한양행, 하반기 개선 기대…목표가↑-현대차證","[아이뉴스24 한수연 기자] 현대차증권은 29일 유한양행에 대해 올해 1분기에는 코로나19 여파로 실적이 역성장했지만, 하반기 레이저티닙과 얀센 이중항체 병용 파이프라인에 대한 단기 모멘텀으로 개선이 기대된다며 목표주가를 기존 5만5천원에서 6만원으로 상향했다. 투자의견은 '매수'를 유지했다.유한양행의 올해 1분기 매출액은 전년 동기 대비 9% 감소한 3천133억원, 영업이익은 82% 급감한 11억원을 기록했다.박병국 현대차증권 애널리스트는 ""코로나19로 1분기 연결기준 매출액은 전년 동기보다 9% 줄고 영업이익은 82% 급감했다""면서도 ""그러나 하반기에 개시될 가능성이 큰 레이저티닙과 얀센 이중항체의 병용 2/3상 디자인에 주목해야 한다""고 짚었다.박 애널리스트는 ""지난 13일 공개된 ASCO 초록 데이터를 통해 레이저티닙은 3세대 TKi로서의 가능성을 다시 한 번 확인했다""며 ""공개된 데이터는 주로 T790M 변이가 일어난 환자에 2차 치료제 목적으로 투약됐으며 레이저티닙 240mg은 EGFR 변이 비소세포폐암 시장을 주도하고 있는 타그리소(80mg)의 AURA 2상 pooled data와 유사한 데이터를 보이며 '단독' 가능성을 보였다""고 설명했다.이어 ""이달 말 포스터에서 공개될 가능성이 있는 160mg, 240mg 용량에서의 데이터를 주목해야 하고, 1차 치료제 목적으로 하는 글로벌 3상 단독 요법에서 160mg, 240mg도 임상을 진행하고 있다""며 ""특히 비임상 독성시험을 완료한 YH-25724의 임상개시 시점은 이르면 하반기가 될 가능성이 있고, 그에 따른 1000만 달러 규모의 마일스톤 수령도 바라볼 수 있다""고 기대했다.한수연기자 papyrus@inews24.com▶네이버 채널에서 '아이뉴스24'를 구독해주세요.▶재밌는 아이뉴스TV 영상보기  ▶아이뉴스24 바로가기[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"
2,유한양행,2020.05.28,헤럴드경제,"화이자-유한양행, ‘평생 금연서약 캠페인’ 진행","[헤럴드경제=손인규 기자]한국화이자제약(대표이사 사장 오동욱)은 유한양행(대표이사 사장 이정희)과 함께 오는 5월 31일 ‘세계 금연의 날’을 맞아 임직원 대상 ‘평생 금연서약 캠페인’을 진행한다고 28일 밝혔다.세계 금연의 날은 세계보건기구(WHO)가 흡연의 위험성을 알리기 위해 1988년 5월에 제정했다. 올해 주제는 ‘담배회사의 담배 규제 방해 행위로부터 청소년 보호 및 니코틴 사용 예방’이다.특히 세계보건기구와 중앙방역대책본부는 신종 코로나바이러스 감염증(코로나19) 고위험군에 흡연자를 포함했으며 대한금연학회와 한국금연운동협의회는 코로나19는 흡연자 및 고령자, 만성질환자에서 위험하기 때문에 흡연자는 반드시 담배를 끊어야 한다고 강조했다.이번 캠페인은 코로나19 감염 확산 방지를 위해 이달 25일부터 6월 1일까지 온라인으로 진행된다.평생 금연서약을 응원하는 가족 또는 지인과 함께 찍은 사진을 제출하면 포토 서약서와 더불어 건강간식, 금연 브로슈어 등으로 구성된 ‘금연해 박스’가 전달된다.ikson@heraldcorp.com▶[디;콘] 여론조사를 조사하다!▶채널 구독하면 LED마스크, 공기청정기가 내손에 ▶농수축산물 소비캠페인 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
3,유한양행,2020.05.24,서울경제,코로나 특수 유한양행 '락스' 매출 27% 급증,"1분기 실적악화 그나마 상쇄매출 비중도 8.6%로 높아져[서울경제] 신종 코로나바이러스 감염증(코로나 19) 예방을 위한 소독법을 친절히 안내해 화제를 모은 ‘유한락스’가 지난 분기 깜짝 실적을 기록했다. 코로나 19로 병원을 찾는 사람이 줄며 유한양행(000100)도 부진을 피하지 못했지만 락스 덕에 그나마 선방했다는 분석이 나온다.24일 제약업계에 따르면 유한양행 생활건강사업부문의 주력상품인 유한락스의 지난 1·4분기 매출액은 269억5,600만원을 기록하며 전년 동기 대비 27.4% 증가했다. 유한양행은 “유통시장이 어려웠지만 성장을 이뤘다”고 설명했다. 유한락스는 락스의 대명사로 불릴 만큼 시장 내 압도적인 영향력을 보유했지만 최근에는 경쟁제품의 잇단 등장에 성장에 한계를 드러내는 듯했다. 실제 2018년 1·4분기 관련 매출은 213억600만원으로 회사 전체 매출 대비 6.3%를 차지했지만 1년만인 2019년 211억6,200만원으로 역성장하며 회사 매출에서 차지하는 비율도 6.1%로 쪼그라들었다. 그러다 다시 코로나 19를 계기로 집이나 건물 등 공용공간 소독 수요가 늘며 전통 제품으로는 보기 드문 두자릿수는 물론 30%에 육박하는 고속성장을 기록했고 회사 전체 매출대비 비중도 8.6%로 훌쩍 뛰어올랐다. 유한양행의 1·4분기 매출액은 전년 동기 대비 9.2%(316억7,700만원) 줄었는데 락스 매출이 같은 기간 57억9,400만원 증가하며 실적 악화를 상쇄했다. 유한양행의 한 관계자는 “일반 소비자 뿐만 아니라 기업과 기관 등에서 대량구매가 많았다”고 전했다.2·4분기가 시작한 지난 4월 들어서도 코로나 19 확산세가 이어지며 소독용 락스 판매가 꾸준히 호조를 나타내는 만큼 이 부문 성장세는 당분간 이어질 것으로 전망된다.  특히 유한락스의 인기 비결로는 지난 3월 화제가 된 ‘올바른 사용법’도 한몫한 것으로 풀이된다. 유한양행 소비자 상담실에서는 당시 올바른 락스 살균 소독법으로 분무기 분사가 아닌 천에 묻혀 물건과 벽면을 닦아야 한다고 강조했다. 또 가정에서 코로나19 확진환자가 나왔을 경우 일반 가정용락스 제품 용량의 50배로 희석하라는 점을 알리며 용기 뚜껑의 용량도 재차 소개했다. 락스 사용 시 창문을 열어 환기시키고 소독 전 마스크와 장갑 착용, 소독 중 얼굴 만지지 않기 같은 주의사항도 꼼꼼히 알렸다. 이 같은 내용이 소셜네트워크서비스(SNS)를 중심으로 널리 퍼지며 회사와 상품에 대한 좋은 반응을 이끌었다./임진혁기자 liberal@sedaily.com[서울경제 바로가기]▶ 네이버 채널에서 '서울경제' 구독해주세요!▶ 세상 모든 것에 대해 던지는 질문, 왜(WHY)?저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
4,유한양행,2020.05.23,edaily,[주말n입사지원] 유한양행·한샘·위메프 등 채용소식,"유한양행·한샘·LS일렉트릭·GS에너지·위메프 등 채용소식(사진=연합뉴스)[이데일리 김호준 기자] 23일 사람인에 따르면 유한양행·한샘·LS일렉트릭·GS에너지·위메프 등이 채용을 진행한다.유한양행은 2020년 상반기 신입 및 경력사원을 채용한다. 신입은 생산(△생산관리 △QA/QC △공장관리), 연구개발(△의약 공정분석 △바이오 CMC △약리연구 △헬스케어 개발) 분야에서 모집한다. 경력은 생산(△EHS), 연구개발(△의약 공정분석 △바이오 신약 △바이오 CMC △약물대사 약동 △약리연구 △임상운영 △PV) 분야에서 모집한다. 모집 분야별로 지원 자격 및 우대 조건이 다르므로 사전에 꼼꼼한 공고 확인이 필수다. 서류전형, 온라인 인적성검사, 면접전형을 거쳐 최종합격자를 선발한다. 오는 26일까지 채용 홈페이지에서 지원하면 된다.한샘은 2020년 상반기 신입사원 공개채용을 실시한다. 모집 부문은 △상품 △경영지원 △온라인 △SCM △영업관리다. 4년제 정규 대학 졸업자 및 2020년 8월 졸업 예정자면 전공, 학점, 공인어학성적에 제한 없이 지원할 수 있다. 일부 분야는 관련 전공자 또는 관련 자격 보유자, 외국어 능통자, 공모전 수상자 등을 우대한다. 전형 단계는 △서류전형 △1차면접 △인성검사 △최종면접 △채용검진 순이다. 6월 2일까지 채용 홈페이지에서 원서를 접수하면 된다.LS일렉트릭은 2020년 생산직 및 생산기술·서비스 채용연계형 인턴을 선발한다. 생산은 △자재 △제조 △시험 △교정, 생산기술·서비스는 △설비운영 △서비스 부문에서 모집한다. 대학 졸업자 및 2021년 2월 졸업 예정자(2020년 7월 1일부터 근무 가능자)로 생산은 고졸 이상, 생산기술·서비스는 전문대졸 이상 및 토익 기준 700점 이상 공인어학성적 보유자면 지원할 수 있다. 분야별 관련 자격증 소지자는 우대한다. 6개월 인턴십 기간 평가 및 임원면접 후 정규직으로 채용된다. 전형 절차는 △서류전형 △AI역량검사(온라인) △실무면접 △채용검진 순이다. 오는 31일까지 채용 홈페이지를 통해 지원 가능하다.GS에너지는 채용연계형 하계인턴을 채용한다. 경영지원 및 사업관리 분야에서 모집한다. 대학 졸업자 또는 2020년 8월 및 2021년 2월 졸업 예정자로 토익 기준 850점 이상 공인어학성적 소지자, 비즈니스 커뮤니케이션이 가능한 수준의 어학 능력 보유자면 지원할 수 있다. 단, 경영지원은 인문 및 상경계열 전공자만 지원 가능하다. 중국어, 일본어 등 기타 외국어 능력 우수자, 경영지원은 재무 관련 자격증(CPA·CFA·CTA·AICPA) 소지자를 우대한다. 서류전형, 테스트(인성검사·AI역량검사·한국사시험), 면접, 건강검진을 거쳐 선발한다. 우수 인턴에게는 인턴 종료 후 입사를 위한 최종 면접 기회가 부여된다. 6월 1일까지 채용 홈페이지로 원서를 접수하면 된다.위메프는 신입 개발자를 채용한다. 모집 분야는 백엔드·프론트엔드 서비스 개발(모바일, PC 웹·앱 서비스 개발), 머신러닝·딥러닝·데이터분석 등이다. 관련 전공자 또는 교육 이수자로 신입 및 개발 업무 1년 미만 경력자, 7월 이후 풀타임 근무 가능자면 지원할 수 있다. 서류전형, 코딩테스트(온라인), 면접전형 (1, 2차)을 거쳐 합격자를 뽑는다. 오는 6월 5일까지 채용 홈페이지를 통해 지원하면 된다.김호준 (kazzyy@edaily.co.kr)네이버에서 ‘이데일리’ 구독하기▶청춘뉘우스~ 스냅타임▶＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
5,유한양행,2020.05.22,서울신문,"유한양행, 혈액이 ‘팽팽’… 생활이 힘차져요","[서울신문]체내 흡수가 빠른 액상형으로 된 유한양행의 대표 마그네슘·비타민B 영양제 ‘마그비 스피드액’. 유한양행 제공혈액 및 말초 순환 장애를 예방하는 데 도움이 되는 영양제로 유한양행의 ‘마그비’가 있다. 마그비는 ‘마그네슘’과 ‘비타민B’에서 이름을 따왔다.마그비는 불규칙한 생활 방식과 식생활 습관을 보이는 현대인에게 부족해지기 쉬운 마그네슘과 비타민B군, 비타민E를 보충해 준다. 비타민E는 혈관을 확장하고, 혈전 응집을 막아 혈액순환을 개선하는 데 도움을 준다. ‘마그비 연질캡슐’과 ‘마그비 감마 연질캡슐’에는 비타민E 500IU가, ‘마그비 액티브정’에는 100IU가 함유돼 있다. IU(International Unit)는 비타민의 효능을 나타내는 단위다.마그네슘과 비타민B군도 마그비 제품군에 골고루 포함된 성분들이다. 마그네슘은 근육 경련, 혈액순환, 심장, 당뇨 등에 도움을 주는 영양소로, 꾸준히 복용하면 증상 완화에 도움이 된다. 특히 신경 안정 효과가 있고, 골다공증 예방이나 생리 전 증후군 증상을 완화하는 데도 도움을 준다.비타민B군은 조효소(복합단백질로 이루어진 효소의 비단백질 성분) 영양소로, 에너지원인 탄수화물, 단백질, 지방 등의 대사에 관여해 에너지 대사를 원활하게 하고, 젖산 축적을 방지해 피로 개선을 돕는다.마그비 제품군에는 활성비타민B군이 들어간 ‘마그비 액티브’, 항산화물질인 감마오리자놀을 함유한 ‘마그마 감마’, 액상제제로 손쉽게 복용할 수 있고 흡수가 빠른 ‘마그비 스피드액’ 등이 있다. 유한양행은 앞으로 근육 경련, 혈액순환 개선제 시장에서 소비자 마케팅을 지속하는 한편 시장 수요를 고려한 신제품도 꾸준히 출시할 계획이다.이영준 기자 the@seoul.co.kr▶ 네이버에서 서울신문 구독하기 클릭! ▶ 세상에 이런 일이 ▶ [연예계 뒷얘기] 클릭!ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지"
6,유한양행,2020.05.21,donga.com,"성균관대-유한양행, ‘뇌질환 R&BD; 생태계’ 구축 협력사업 협약체결","성균관대는 유한양행, ㈜아임뉴런바이오사이언스와 ‘산학융합 뇌질환 R&BD 생태계 구축 협력사업’을 통해 국가 바이오산업 발전과 인류 건강 증진을 목표로 20일 3자 업무협약을 체결했다고 21일 밝혔다.   성균관대, 유한양행, 아임뉴런은 이번 협약을 통해 ▲바이오 분야 ·연구 클러스터 구축 ▲미래 유망 기술개발 및 CNS 파이프라인 창출 ▲의약-바이오 공동연구 및 신약개발 협력 ▲뇌질환 산학융합연구소 설립 등 세계적인 수준의 지속 가능한 산학융합 뇌질환 R&BD 생태계를 구축하고 글로벌 선도기관으로 도약한다는 계획이다.   이번 협약은 국내 최초로 대학-제약회사-바이오벤처의 화학적 결합이 이뤄진 것과 이를 통해 새로운 형태의 산학융합 뇌질환 R&BD 생태계를 구축하게 되었다는 점에서 큰 의미가 있다.   세 기관은 기초연구부터 신약개발에 필요한 연구 인프라, 기반기술, 중개연구, 임상, 사업화 등 역량을 총 결집하여, 세계를 선도하는 연구와 혁신신약 개발에 성공할 수 있을 것으로 기대하고 있다.  성균관대는 이번 협약을 통해 공동으로 설립할 뇌질환 산학융합연구소 내 신규학과를 신설하고, 산학연계 학위트랙을 통해 신약개발 분야의 창의리더를 양성한다. 이로써 협약 파트너들과 세계적 수준의 CNS 연구역량 및 인프라를 공유할 것으로 기대하고 있다.   유한양행은 뇌질환 분야에서 미래 유망한 기반기술을 육성하고, 투자 및 공동개발을 통해 사업성이 유망한 CNS(central nervous system;중추 신경계) 파이프라인을 확보할 계획이다. 이는 유한양행이 전략적으로 확대하고 있는 뇌질환 분야에서 또 한발 앞서가는 행보라 할 수 있다. 아임뉴런은 뇌질환 및 유전자질환 신약개발을 위한 미래 유망 기반기술을 개발하고, 신규 CNS 파이프라인을 창출한다.  신동렬 성균관대 총장은“최고의 기업과 대학, 혁신 바이오벤처가 국가 바이오산업 발전과 인류 건강 증진이라는 공동의 목적을 위해 글로벌 리딩 산학협력 플랫폼을 실현시킬 수 있는 계기가 되어 기쁘다”며 “지속가능한 R&BD 생태계 구축을 통해 실효성 있는 연구로 세계를 선도하고, 글로벌 기업가적 대학으로 도약하기를 기대한다”고 밝혔다.▶ 네이버에서 [동아일보] 채널 구독하기▶ 집 볼 때 쓰는 메모장 '집보장'ⓒ 동아일보 & donga.com, 무단 전재 및 재배포 금지"
7,유한양행,2020.05.21,세계닷컴,유한양행-성균관대-아임뉴런 맞손…뇌질환 R&BD; 생태계 구축한다,"㈜유한양행(이정희 대표이사 사장)은 성균관대학교(신동렬 총장), ㈜아임뉴런바이오사이언스(김한주 대표이사)와 3자 업무협약을 체결했다고 20일 밝혔다. 이 협약은 차별화된 ?산학융합 뇌질환 R&BD; 생태계 구축 협력사업?을 통해 국가 바이오산업 발전과 인류 건강 증진을 목표로 하고 있다.   유한양행, 성균관대, 아임뉴런은 이번 협약을 통해 ▲바이오 분야 교육?연구 클러스터 구축 ▲미래 유망 기술개발 및 CNS 파이프라인 창출 ▲삼성서울병원과 공동연구 및 신약개발 협력 ▲?뇌질환 산학융합연구소? 설립 등 세계적인 수준의 지속 가능한 산학융합 뇌질환 R&BD; 생태계를 구축하고 글로벌 선도기관으로 도약한다는 계획이다.    이번 협약은 국내 최초로 대학-제약회사-바이오벤처의 화학적 결합이 이뤄진 것과 이를 통해 새로운 형태의 산학융합 뇌질환 R&BD; 생태계를 구축하게 되었다는 점에서 큰 의미를 지닌다. 성균관대, 삼성서울병원, 뇌질환 산학융합연구소가 유기적으로 연결되어 연구인력 양성 및 인적교류를 활성화하고, 긴밀한 정보 공유체계를 구축하기로 했다.   세 기관은 기초연구부터 신약개발 전반에 걸쳐 필요한 연구 인프라, 기반기술, 중개연구, 임상, 사업화 등의 역량을 총 결집하여 세계를 선도하는 연구와 혁신신약 개발에 성공할 수 있을 것으로 기대하고 있다.   이번 협약을 통해 유한양행은 뇌질환 분야에서 미래유망한 기반기술을 육성하고, 투자 및 공동개발을 통해 사업성이 유망한 CNS(central nervous system;중추 신경계) 파이프라인을 확보할 계획이다. 이는 유한양행이 전략적으로 확대하고 있는 뇌질환 분야에서 또 한발 앞서가는 행보라 할 수 있다.    성균관대는 이번 협약을 통해 공동으로 설립할 ?뇌질환 산학융합연구소? 내 신규학과를 신설하고, 산학연계 학위트랙을 통해 신약개발 분야의 창의리더를 양성한다. 이로써 협약 파트너들과 세계적 수준의 CNS 연구역량 및 인프라를 공유할 것으로 기대하고 있다.    아임뉴런은 뇌질환 및 유전자질환 신약개발을 위한 미래 유망 기반기술을 개발하고, 신규 CNS 파이프라인을 창출한다.   이정희 유한양행 사장은“이번 협약은 국내 최초로 대학-제약회사-바이오벤처의 세 기관이 화학적 결합을 통해 차별화된 뇌질환 R&BD; 생태계를 조성하는 것”이라며 “이를 통해 혁신 신약개발을 위한 신성장동력을 확보하여 글로벌 제약사로의 도약과 국가 바이오산업의 미래지향적인 발전을 위해 매진할 것”이라고 말했다.   신동렬 성균관대 총장은“최고의 기업과 대학, 혁신 바이오벤처가 국가 바이오산업 발전과 인류 건강 증진이라는 공동의 목적을 위해 글로벌 리딩 산학협력 플랫폼을 실현시킬 수 있는 계기가 되어 기쁘다”며 “지속가능한 R&BD; 생태계 구축을 통해 실효성 있는 연구로 세계를 선도하고, 글로벌 기업가적 대학으로 도약하기를 기대한다”고 밝혔다.    김한주 아임뉴런 대표는“뇌질환·유전자질환 분야의 혁신 신약개발을 위해서는 기초과학부터, 플랫폼기술, 중개연구, 임상, 사업화 등 다양한 영역의 역량이 모두 필요하다”며, “세 기관이 긴밀한 화합을 이루어 시너지 효과를 극대화하고, 아임뉴런은 다복합 플랫폼기술 개발을 강화하여 산학융합 글로벌 연구소기업으로 성장하겠다”고 말했다.     앞서 성균관대와 유한양행은 지난해 6월 뇌질환 공동연구개발, 핵심인재 양성, 유망 벤처기업 발굴 및 육성 등을 포함한 포괄적·전략적 산학협력관계를 구축하는 업무협약을 체결한 바 있다. 사업내용의 일환으로 올해부터 차세대 핵심인재 양성을 위하여‘YUHAN 신약개발 트랙’프로그램을 시작했으며, 현재 유한양행과 아임뉴런은 3개의 뇌암·뇌질환 신약 프로그램을 공동연구개발 하고 있다.   김현주 기자 hjk@segye.com    ⓒ 세상을 보는 눈, 세계일보"
8,유한양행,2020.05.21,조선비즈,"유한양행 해피홈, 핸드워시, 손소독제 등 안심 생활 위한 'SAFE365' 출시","신종 코로나바이러스 감염증(코로나19)의 공포로 개인위생에 관한 관심이 그 어느 때보다 높다. 코로나바이러스 예방수칙으로 마스크 착용과 함께 가장 강조되는 것이 ‘손 씻기’이다. 손소독제와 손세정제가 품절 대란을 일으킬 정도로 수요가 늘어나기도했다.국내 1위 제약회사인 유한양행이 손소독제, 핸드워시, 비누 등으로 구성된 ‘SAFE365’ 품목을 출시했다. 살충제로 시작한 ""해피홈"" 브랜드는 밴드, 손세정제까지 출품하면서 모기, 상처, 세균에 의한 질병을 사전 예방 할 수 있는 ""안심생활예방"" 브랜드로 확장 중이다. 특히나 이번에 출품한 ‘SAFE365’ 품목들은 ‘약을 만드는 마음’으로 가장 우수하고 안전한 제품을 소비자에게 제공하겠다는 유한양행 해피홈 브랜드 정신을 담았다는 것이 업체 측의 설명이다.사진: SAFE365‘SAFE365’ 핸드워시는 생활 속 유해 세균과 미세먼지 세정 99.9%(이노덤 피부과학연구소) 제품으로 쫀쫀하고 풍성한 거품이 장점이다. 촉촉한 생화의 느낌을 살린 ‘핑크포레’향과 청명하고 깨끗한 느낌의 ‘그린샤워’향, 향에 거부감이 있는 이들을 위한 ‘무향’이 출시되었으며, 알레르기 유발성분 25종이 모두 배제된 피부 저자극 제품이다. 고체형 비누 역시 마찬가지로 피부 저자극 제품으로 ‘핑크포레’향과 ‘그린샤워’향이 출시되어 있으며 손에서 잘 미끄러지지 않는 우수한 그립감도 장점이다.유한양행 ‘SAFE365’의 손소독제는 에탄올 62% 함유 제품으로 99.9% 살균력(KTR)을 지녔다.적당한 점성의 겔(gel) 제형이라 부드럽고 촉촉하게 사용할 수 있으며, 휘발성이 뛰어나 살에 닿았을 때 끈적임이 오래 남지 않고 쾌적한 느낌을 준다. 알로에베라겔을 함유하여 보송한 보습효과로 피부를 지켜준다. 손소독제의 특성상 알코올 향에 대한 거부감이 있을 수도 있는데, ‘SAFE365’ 손소독제는 은은한 레몬 향으로 되어있어 사용 시 불쾌감이 없는 것도 장점이다.더불어 유한양행 해피홈은 휴대가 간편한 스프레이형 손 소독제 ‘SAFE365 홈맥스 에어로솔(150㎖)’을 동시 출시하여 바깥 외출 시 불안한 마음을 덜 수 있도록 했다. ‘SAFE365 홈맥스 에어로솔(150㎖)’은 스프레이 형식이라 내용물이 흐르거나 오염물이 침투할 가능성이 적다.1등 제약회사가 만든 제품인 만큼, 손소독제 본연의 기능이 우수하여 손잡이, 문고리, 자동차 핸들, 휴대폰, 키보드 등 손이 자주 닿는 곳을 소독하기에도 적당하다. 특히 영유아를 키우는 집이라면, 오염된 물건이 아이의 입에 닿기 전에 소독하는 것이 중요하다. 더불어 평소 외출 시에도 간편하게 휴대하여 영화관, 쇼핑센터, 대중교통 이용 시 틈틈이 사용한다면 개인위생을 높일 수 있다.한편, 유한양행 해피홈은 ‘SAFE365’ 출시 기념으로 다양한 프로모션을 진행하고 있다. 특히 산후조리원, 대중식당처럼 감염 취약지역과 공중위생이 강조되는 곳에 먼저 지원할 계획이다.[콘텐츠부]	[네이버 메인에서 조선비즈 받아보기]	[조선비즈 바로가기] 	chosunbiz.com"
9,유한양행,2020.05.21,financial news,"""유한양행, 신약 연구·개발 순항 중""-SK증권","[파이낸셜뉴스] SK증권은 21일 유한양행에 대해 신약 임상이 모두 순항 중이라며 투자의견 '매수'와 목표주가 6만원을 각각 유지했다.   올 1·4분기 매출은 지난해 같은 기간보다 9.2% 줄어든 3133억원, 영업이익은 82.4% 급감한 11억원이다.   이달미 연구원은 ""매출액 역성장의 원인은 코로나19의 영향으로 전문의약품(ETC) 부문에서 전년 동기 대비 13.3%나 감소했기 때문""이라며 ""또한 생활용품 부문도 마케팅 비용 집행으로 적자가 커졌다""고 설명했다.   지난 1·4분기 실적을 저점으로 2·4분기부터는 실적이 개선될 전망이다. 이 연구원은 ""2·4분기 4월 ETC 실적은 목표치를 넘겼고 이번 달 코프로모션 신규품목이 들어오면서 더욱 개선세가 완연해질 것""이라고 말했다.   2·4분기에는 큰 폭의 마일스톤(기술료) 유입이 예상된다. 유한양행은 지난 4월 8일 얀센으로부터 432억원에 달하는 마일스톤 유입이 예상된다고 공시했다.   이 연구원은 ""이번 마일스톤은 얀센의 이중항체와의 병용투여 임상2상이 개시된 것을 의미하며 영업이익에는 오스크텍에게 40%를 나눈 259억원이 인식될 전망""이라고 전했다.   이어 ""이는 2·4분기 중 인식될 예정이나 일부는 하반기에 인식될 수도 있다""며 ""유한양행은 2020년 최대의 마일스톤 유입이 예상돼 큰 폭의 영업이익 성장률이 기대된다""고 설명했다.   이 연구원은 ""또한 레이저티닙의 2차 치료제로써 임상1/2상 결과 객관적 반응률(ORR)이 57.6%, 무진행생존기간은 평균 11개월로 관찰됐으며 부작용도 경증으로 나타나 안전성이 입증됐다""며 ""진행 중인 R&D 모두 임  상 순항 중""이라고 말했다.    map@fnnews.com 김정호 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ '아는 척'하고 싶은 당신을 위한 [두유노우]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
10,유한양행,2020.05.20,donga.com,"유한양행, ‘산학융합 뇌질환 R&BD; 생태계 구축’ 3자 업무협약","유한양행-성균관대-아임뉴런 3자 협약제약사·대학·벤처 협력하는 첫 사례글로벌 수준 뇌질환 기반기술 생태계 구축유한양행은 성균관대학교, 아임뉴런바이오사이언스와 ‘신학융합 뇌질환 R&DB 생태계 구축 협력사업’을 위한 3자 업무협약을 체결했다고 20일 밝혔다. 이번 협약은 국가 바이오산업 발전과 인류 건강 증진을 목표로 한다는 설명이다.협약을 통해 ▲바이오 분야 교육･연구 클러스터 구축 ▲미래 유망 기술개발 및 중추신경계(CNS) 파이프라인 창출 ▲삼성서울병원과 공동연구 및 신약개발 협력 ▲뇌질환 산학융합연구소 설립 등을 추진한다. 글로벌 수준 지속 가능한 산학융합 뇌질환 R&BD 생태계를 구축하고 세계 선도기관으로 도약한다는 복안이다.이번 협약은 국내에서 처음으로 제약회사와 대학, 바이오벤처 등이 화학적 결합을 이뤄낸 사례다. 이를 통해 새로운 형태의 산학융합 뇌질환 R&BD 생태계를 구축하게 됐다는 점에서 의미있다고 유한양행 측은 강조했다. 특히 성균관대와 삼성서울병원, 뇌질환 산학융합연구소가 유기적으로 협력해 연구인력을 양성하고 인적교류를 활성화할 전망이다. 세 기관은 기초연구부터 신약개발 전반에 걸쳐 필요한 연구 인프라와 기반기술, 중개연구, 임상, 사업화 등의 역량을 집약해 세계를 선도하는 연구와 혁신신약 개발에 성공할 수 있을 것으로 기대하고 있다.유한향행의 경우 뇌질환 분야에서 미래 유망 기반기술을 육성한다는 방침이다. 여기에 투자 및 공동개발을 통해 사업성이 유망한 CNS 파이프라인을 확보한다는 계획이다. 이는 유한양행이 전략적으로 확대하고 있는 뇌질환 분야에서 한발 앞서가는 행보라는 평가다.성균관대는 이번 협약을 통해 공동으로 설립할 ‘뇌질환 산학융합연구소’ 내 신규학과를 신설하고 산학연계 학위트랙을 통해 신약개발 분야 창의리더를 양성한다는 목표다. 협약 파트너들과 세계적 수준 CNS 연구역량 및 인프라를 공유할 것으로 기대한다는 입장이다. 아임뉴런은 뇌질환 및 유전자질환 신약개발을 위한 미래 유망 기반기술을 개발하고 신규 CNS 파이프라인 창출을 추진한다.이정희 유한양행 사장은 “이번 협약은 국내 최초로 제약회사와 대학, 바이오벤처 등 세 기관이 화학적 결합을 통해 차별화된 뇌질환 R&BD 생태계를 조성하는 것”이라며 “이를 통해 혁신 신약개발을 위한 새로운 성장 동력을 확보하고 글로벌 제약사 도약과 국가 바이오산업 발전에 기여할 것으로 기대한다”고 말했다.한편 유한양행과 성균관대는 지난해 6월 뇌질환 공동연구개발, 핵심인재 양성, 유망 벤처기업 발굴 및 육성 등을 주요 내용으로 하는 포괄적·전략적 산학협력관계를 구축하는 업무협약을 체결한 바 있다. 해당 협약의 사업내용 일환으로 올해부터 차세대 핵심인재 양성을 위한 ‘유한(YUHAN) 신약개발 트랙’ 프로그램을 가동했다. 현재 유한양행과 아임뉴런은 3개의 뇌암·뇌질환 신약 프로그램을 공동으로 연구·개발하고 있다.동아닷컴 김민범 기자 mbkim@donga.com▶ 네이버에서 [동아일보] 채널 구독하기▶ 집 볼 때 쓰는 메모장 '집보장'ⓒ 동아일보 & donga.com, 무단 전재 및 재배포 금지"
